asymmetry,compactness,rgb_mean_value,rgb_standard_deviation,rgb_skewness,rgb_kurtosis,rgb_peak_val,blue_white_veil
0.5803,,"(96.98476020074304, 66.5197703398735, 64.00288472376997)","(13.495818259640927, 16.39866621761389, 16.671309915322237)","(2.2762539143038847, 2.076234500045812, 2.1361698592467775)","(4.024000164077443, 3.5265667212203056, 3.751013181024078)","(92, 54, 50)",
0.6265,,"(146.77210097044008, 40.68974793719826, 36.56739502487471)","(35.58416923258549, 46.6787759451415, 43.467280294532124)","(1.1322867380045654, 3.24294544402002, 3.4638377084636733)","(-0.0019261069301519385, 12.218043461691211, 14.248415272144275)","(255, 0, 0)",
0.7348,,"(133.22264560355688, 61.98545790681965, 59.907101393298944)","(15.477946709868034, 21.07204948219748, 21.844692247062355)","(2.1818334655694813, 1.5598285144924204, 1.4384989693434806)","(3.61585600114198, 1.2290141806782335, 0.6393475975499934)","(132, 65, 56)",
0.5771,,"(119.84585668370164, 45.42997473499054, 27.85572910265364)","(23.75897046745467, 33.66226810481658, 30.253410170998862)","(1.4637556149487907, 8.259657287310985, 14.227755198921711)","(0.6479936550382668, 100.24978358021309, 215.25651430376217)","(133, 0, 0)",
0.8899,,"(145.52610362457926, 115.49429102151771, 131.119253951445)","(14.903661768138884, 27.36327189152165, 31.604397304506033)","(3.103029616967233, 2.0319813311913784, 1.5677560359991163)","(9.764008539505875, 3.563733218761791, 1.6798409579085636)","(141, 100, 117)",1
0.5928,,"(153.86407289473573, 106.57735618605511, 89.38340125308605)","(23.450385298015153, 22.3893725880852, 21.751435259485923)","(1.5863311344217246, 1.6899062571181778, 1.7254721944915274)","(1.2335081521880484, 1.5524488547117699, 1.6834770976784403)","(157, 112, 94)",
,,,,,,,
0.0193,,"(163.93785911332816, 112.44801828125492, 96.3973928457126)","(14.78185536199274, 13.856739645925797, 10.724360436366473)","(2.625869541375252, 2.0928253397101884, 2.609602117969683)","(6.280029952024048, 3.1511047511456898, 5.71394746097087)","(174, 118, 95)",
0.8572,,"(169.47532993420464, 115.13396555869258, 88.90761595104959)","(14.821572393368754, 18.84910371827267, 22.795357664785193)","(2.216205730469534, 1.7136478825077754, 1.4758901435990521)","(3.6851482442630807, 1.5450357552737595, 0.8696665142344524)","(173, 118, 92)",
0.8451,,"(190.40187843920285, 103.63796474813716, 86.60164127475582)","(18.14013282656669, 30.71817525533909, 32.73425368843074)","(2.4046901783742536, 0.8095481547479716, 0.7786495321883126)","(6.5788085168289285, -1.0972655245241552, -1.1042496755666973)","(186, 98, 87)",
0.845,,"(149.61326797114998, 116.48595928932446, 114.30152381381777)","(23.57497310151727, 25.36161054865138, 27.594864045995166)","(1.4912081649095321, 1.5444007459655864, 1.399966406352367)","(0.8586731539702344, 1.2031406654344607, 0.6722082076685121)","(138, 101, 99)",
,,"(167.72301703672565, 114.64073423597438, 108.10484983722563)","(15.317574027859104, 13.494956408676593, 13.480070552353324)","(1.9077471079491835, 2.2071531811655274, 2.2813101148405095)","(2.164917293725467, 3.524536223640129, 4.270825970019537)","(177, 112, 104)",
0.6406,,"(205.5611991548867, 174.1559218142138, 170.16256726931897)","(14.716031824879295, 22.821055103472375, 23.35222684054138)","(2.8505517107276424, 1.805099334373833, 2.195962532300563)","(8.137242429451417, 2.4889493085892305, 4.678670030339915)","(207, 175, 175)",
,,,,,,,
0.0123,,"(178.46947765933146, 117.82988443786599, 123.98008112607931)","(24.279637389074548, 24.94288461905081, 25.6722907994268)","(1.0807679429405121, 1.2538601475068152, 1.255319121814181)","(-0.46298691552476345, 0.17328961820772282, 0.05175904270738041)","(175, 111, 105)",
0.8456,,"(168.15661936442666, 125.21245834824367, 132.0107869343101)","(10.819886763692587, 12.986983351201436, 13.889234669848278)","(3.014521729721256, 2.375941622301364, 2.3448237215377565)","(8.074901872650324, 4.3668788497226245, 4.415763705969066)","(167, 129, 136)",
0.8499,,"(171.3663715997318, 120.29972927616473, 95.60673528294865)","(15.581618806746855, 20.56264773990453, 19.52333642677523)","(1.73274875297604, 1.2124623099538572, 1.4541052013925624)","(1.516934805643082, -0.21122656923999727, 0.599270329982986)","(180, 136, 87)",
0.8448,,"(46.31296566089395, 64.69934390359776, 73.21420629167642)","(41.00935718419878, 33.82361703752707, 33.35717785582997)","(3.3254906616602193, 1.336347151363666, 0.9785865847386004)","(15.987131793561378, 1.3614882053499366, -0.07216901807991727)","(8, 28, 39)",1
0.551,,"(123.27965276916348, 85.35063325854935, 78.02790233477117)","(19.968364249482153, 27.46745063926976, 24.727723938505854)","(1.3794247262440158, 1.85197910902686, 2.256331304300762)","(0.510055594584848, 2.785980590496587, 4.408216275573198)","(104, 64, 63)",
0.7514,,"(140.33556292397407, 103.7965850314904, 100.5326239545393)","(14.517287282199153, 21.166921885981157, 21.07578942191722)","(3.070071988889283, 1.4907679820510646, 1.4570708483209562)","(9.485846056896612, 0.8912381494543671, 0.8228138969270735)","(149, 108, 109)",
0.6489,,"(146.37289171063458, 117.9374292022876, 132.80168755766863)","(3.876751923067056, 19.703018344546532, 19.458473975657757)","(4.713316788454499, 1.7367723458781947, 1.6269520496469116)","(21.889977226768234, 2.0358955072187834, 1.530801101745464)","(147, 133, 151)",1
0.833,,"(147.7002170134292, 101.70944063174647, 101.88822385580897)","(17.90233378451032, 26.324684512480605, 26.737600861579242)","(3.4159442741178325, 1.9240769681364087, 2.211439108584669)","(11.439992295721858, 2.465839386672755, 4.145090097994503)","(142, 84, 83)",1
0.4439,,"(205.27715727419127, 65.70074935283628, 58.60284299966588)","(30.687081630591187, 48.151870343952524, 40.09658879382402)","(1.735068186404373, 0.9220695167028861, 1.6964094911471028)","(5.217472060102811, -0.5870831461150665, 1.5033692278161697)","(255, 63, 32)",
0.5032,,"(198.67845297735767, 111.63358918209269, 103.28168780033593)","(9.532781621920519, 9.99040564424394, 8.99113074347079)","(3.790810086046293, 2.8282249553963887, 3.068604071860531)","(15.680657475943026, 6.930805232335922, 8.521041648938322)","(196, 115, 104)",
0.0944,,"(159.13838817737997, 131.55065559782088, 109.11687478423119)","(32.35810425800597, 32.89964409521268, 32.181507777472866)","(2.3814015134930617, 0.7669142818086365, 0.7614884079514869)","(6.736048356298234, -0.8540982271689899, -0.9143288381932004)","(180, 139, 129)",
0.7957,,"(147.13088561751647, 98.28203668881906, 107.6753083805088)","(18.737239406843653, 23.844828210400184, 24.98063945151589)","(1.8664370940331587, 1.332107395919548, 1.087405287416946)","(2.651547754608197, 0.4688688401907437, -0.396154410443482)","(160, 113, 128)",
0.7068,,"(201.8569543974627, 144.53797285619657, 149.61592804823158)","(14.175652142943726, 22.520923271094322, 22.561956883151204)","(2.9510846341454875, 2.4320329033995036, 2.1098626688249347)","(7.870378487568024, 5.009457115383357, 3.1991501563057385)","(198, 140, 148)",
0.6983,,"(175.57441942856167, 120.68373439337302, 116.97011176194792)","(19.434395766919792, 33.021543129790224, 32.59968037170072)","(1.488917130156187, 0.9999809750484273, 0.9419287403163578)","(0.7143709693950027, -0.3659966049001451, -0.5883920993376281)","(163, 94, 88)",
0.1589,,"(219.24826271978964, 171.22911338118502, 141.81312280180646)","(22.827005228414148, 28.123580752730756, 29.575398128925425)","(1.2111754563152612, 1.2917870178396282, 0.9565503549658959)","(-0.1049722756967344, 0.6977687373686696, -0.42860689221139125)","(232, 168, 142)",
0.8284,,"(178.38475881341583, 137.09060881291953, 125.0362739701377)","(15.834716610657749, 27.264714696613414, 32.08177802639251)","(1.8779824846808264, 1.2647354961626114, 0.7809080403567091)","(1.993500812035169, 0.15501614744625813, -0.9090350380525667)","(183, 127, 127)",
0.2503,,"(230.7440879544156, 165.17237989992282, 132.48046282587165)","(9.768792439157403, 12.387973242486298, 13.142573661082551)","(2.8645942781323965, 2.6469981990611915, 2.5090223380467727)","(7.22133209550786, 6.202734339097528, 5.344891389615423)","(229, 163, 128)",
0.5445,,"(184.90868989746377, 134.96598070453183, 138.93795803745888)","(12.05425580966028, 16.915042250720063, 15.64489576606013)","(2.622756933566475, 2.1885028348526245, 2.4593444657144277)","(5.651658459400604, 3.650905699799364, 5.230698075263891)","(178, 134, 134)",
,,"(148.29121068608947, 117.73581483785529, 113.50277414818993)","(23.974641929230636, 22.351793086731647, 18.156375224193162)","(1.3944192464365843, 1.4179185390175921, 1.8259588021404747)","(0.6042534836228777, 0.5287473158058487, 1.9511913561896668)","(152, 128, 115)",1
0.9127,,"(158.24806539385463, 92.74440102131848, 83.08068957316573)","(16.660640372451603, 20.929525955166568, 19.300160540443457)","(2.3445144884679143, 1.5865754538362937, 1.8072293887766782)","(4.755444317393283, 1.1453547485361026, 1.9503924290797974)","(144, 80, 79)",
